Date,Open,High,Low,Close,Commission,Slippage,Ticker
19-12-22,18288.09961,18431.65039,18244.55078,18420.44922,31037.10059,155.185503,NSEI
20-12-22,18340.30078,18404.90039,18202.65039,18385.30078,31037.10059,155.185503,NSEI
21-12-22,18435.15039,18473.34961,18162.75,18199.09961,31037.10059,155.185503,NSEI
22-12-22,18288.80078,18318.75,18068.59961,18127.34961,31037.10059,155.185503,NSEI
23-12-22,17977.65039,18050.44922,17779.5,17806.80078,31037.10059,155.185503,NSEI
26-12-22,17830.40039,18084.09961,17774.25,18014.59961,31037.10059,155.185503,NSEI
27-12-22,18089.80078,18149.25,17967.44922,18132.30078,31037.10059,155.185503,NSEI
28-12-22,18084.75,18173.09961,18068.34961,18122.5,31037.10059,155.185503,NSEI
29-12-22,18045.69922,18229.69922,17992.80078,18191,31037.10059,155.185503,NSEI
30-12-22,18259.09961,18265.25,18080.30078,18105.30078,31037.10059,155.185503,NSEI
02-01-23,18131.69922,18215.15039,18086.5,18197.44922,31037.10059,155.185503,NSEI
03-01-23,18163.19922,18251.94922,18149.80078,18232.55078,31037.10059,155.185503,NSEI
04-01-23,18230.65039,18243,18020.59961,18042.94922,31037.10059,155.185503,NSEI
05-01-23,18101.94922,18120.30078,17892.59961,17992.15039,31037.10059,155.185503,NSEI
06-01-23,18008.05078,18047.40039,17795.55078,17859.44922,31037.10059,155.185503,NSEI
09-01-23,17952.55078,18141.40039,17936.15039,18101.19922,31037.10059,155.185503,NSEI
10-01-23,18121.30078,18127.59961,17856,17914.15039,31037.10059,155.185503,NSEI
11-01-23,17924.25,17976.34961,17824.34961,17895.69922,31037.10059,155.185503,NSEI
12-01-23,17920.84961,17945.80078,17761.65039,17858.19922,31037.10059,155.185503,NSEI
13-01-23,17867.5,17999.34961,17774.25,17956.59961,31037.10059,155.185503,NSEI
16-01-23,18033.15039,18049.65039,17853.65039,17894.84961,31037.10059,155.185503,NSEI
17-01-23,17922.80078,18072.05078,17886.94922,18053.30078,31037.10059,155.185503,NSEI
18-01-23,18074.30078,18183.75,18032.44922,18165.34961,31037.10059,155.185503,NSEI
19-01-23,18119.80078,18155.19922,18063.75,18107.84961,31037.10059,155.185503,NSEI
20-01-23,18115.59961,18145.44922,18016.19922,18027.65039,31037.10059,155.185503,NSEI
23-01-23,18118.44922,18162.59961,18063.44922,18118.55078,31037.10059,155.185503,NSEI
24-01-23,18183.94922,18201.25,18078.65039,18118.30078,31037.10059,155.185503,NSEI
25-01-23,18093.34961,18100.59961,17846.15039,17891.94922,31037.10059,155.185503,NSEI
27-01-23,17877.19922,17884.75,17493.55078,17604.34961,31037.10059,155.185503,NSEI
30-01-23,17541.94922,17709.15039,17405.55078,17648.94922,31037.10059,155.185503,NSEI
31-01-23,17731.44922,17735.69922,17537.55078,17662.15039,31037.10059,155.185503,NSEI
01-02-23,17811.59961,17972.19922,17353.40039,17616.30078,31037.10059,155.185503,NSEI
02-02-23,17517.09961,17653.90039,17445.94922,17610.40039,31037.10059,155.185503,NSEI
03-02-23,17721.75,17870.30078,17584.19922,17854.05078,31037.10059,155.185503,NSEI
06-02-23,17818.55078,17823.69922,17698.34961,17764.59961,31037.10059,155.185503,NSEI
07-02-23,17790.09961,17811.15039,17652.55078,17721.5,31037.10059,155.185503,NSEI
08-02-23,17750.30078,17898.69922,17744.15039,17871.69922,31037.10059,155.185503,NSEI
09-02-23,17885.5,17916.90039,17779.80078,17893.44922,31037.10059,155.185503,NSEI
10-02-23,17847.55078,17876.94922,17801,17856.5,31037.10059,155.185503,NSEI
13-02-23,17859.09961,17880.69922,17719.75,17770.90039,31037.10059,155.185503,NSEI
14-02-23,17840.34961,17954.55078,17800.05078,17929.84961,31037.10059,155.185503,NSEI
15-02-23,17896.59961,18034.09961,17853.80078,18015.84961,31037.10059,155.185503,NSEI
16-02-23,18094.75,18134.75,18000.65039,18035.84961,31037.10059,155.185503,NSEI
17-02-23,17974.84961,18034.25,17884.59961,17944.19922,31037.10059,155.185503,NSEI
20-02-23,17965.55078,18004.34961,17818.40039,17844.59961,31037.10059,155.185503,NSEI
21-02-23,17905.80078,17924.90039,17800.30078,17826.69922,31037.10059,155.185503,NSEI
22-02-23,17755.34961,17772.5,17529.44922,17554.30078,31037.10059,155.185503,NSEI
23-02-23,17574.65039,17620.05078,17455.40039,17511.25,31037.10059,155.185503,NSEI
24-02-23,17591.34961,17599.75,17421.80078,17465.80078,31037.10059,155.185503,NSEI
27-02-23,17428.59961,17451.59961,17299,17392.69922,31037.10059,155.185503,NSEI
28-02-23,17383.25,17440.44922,17255.19922,17303.94922,31037.10059,155.185503,NSEI
01-03-23,17360.09961,17467.75,17345.25,17450.90039,31037.10059,155.185503,NSEI
02-03-23,17421.5,17445.80078,17306,17321.90039,31037.10059,155.185503,NSEI
03-03-23,17451.25,17644.75,17427.69922,17594.34961,31037.10059,155.185503,NSEI
06-03-23,17680.34961,17799.94922,17671.94922,17711.44922,31037.10059,155.185503,NSEI
08-03-23,17665.75,17766.5,17602.25,17754.40039,31037.10059,155.185503,NSEI
09-03-23,17772.05078,17772.34961,17573.59961,17589.59961,31037.10059,155.185503,NSEI
10-03-23,17443.80078,17451.5,17324.34961,17412.90039,31037.10059,155.185503,NSEI
13-03-23,17421.90039,17529.90039,17113.44922,17154.30078,31037.10059,155.185503,NSEI
14-03-23,17160.55078,17224.65039,16987.09961,17043.30078,31037.10059,155.185503,NSEI
15-03-23,17166.44922,17211.34961,16938.90039,16972.15039,31037.10059,155.185503,NSEI
16-03-23,16994.65039,17062.44922,16850.15039,16985.59961,31037.10059,155.185503,NSEI
17-03-23,17111.80078,17145.80078,16958.15039,17100.05078,31037.10059,155.185503,NSEI
20-03-23,17066.59961,17066.59961,16828.34961,16988.40039,31037.10059,155.185503,NSEI
21-03-23,17060.40039,17127.69922,17016,17107.5,31037.10059,155.185503,NSEI
22-03-23,17177.44922,17207.25,17107.84961,17151.90039,31037.10059,155.185503,NSEI
23-03-23,17097.40039,17205.40039,17045.30078,17076.90039,31037.10059,155.185503,NSEI
24-03-23,17076.19922,17109.44922,16917.34961,16945.05078,31037.10059,155.185503,NSEI
27-03-23,16984.30078,17091,16918.55078,16985.69922,31037.10059,155.185503,NSEI
28-03-23,17031.75,17061.75,16913.75,16951.69922,31037.10059,155.185503,NSEI
29-03-23,16977.30078,17126.15039,16940.59961,17080.69922,31037.10059,155.185503,NSEI
31-03-23,17210.34961,17381.59961,17204.65039,17359.75,31037.10059,155.185503,NSEI
03-04-23,17427.94922,17428.05078,17312.75,17398.05078,31037.10059,155.185503,NSEI
05-04-23,17422.30078,17570.55078,17402.69922,17557.05078,31037.10059,155.185503,NSEI
06-04-23,17533.84961,17638.69922,17502.84961,17599.15039,31037.10059,155.185503,NSEI
10-04-23,17634.90039,17694.09961,17597.94922,17624.05078,31037.10059,155.185503,NSEI
11-04-23,17704.80078,17748.75,17655.15039,17722.30078,31037.10059,155.185503,NSEI
12-04-23,17759.55078,17825.75,17717.25,17812.40039,31037.10059,155.185503,NSEI
13-04-23,17807.30078,17842.15039,17729.65039,17828,31037.10059,155.185503,NSEI
17-04-23,17863,17863,17574.05078,17706.84961,31037.10059,155.185503,NSEI
18-04-23,17766.59961,17766.59961,17610.19922,17660.15039,31037.10059,155.185503,NSEI
19-04-23,17653.34961,17666.15039,17579.84961,17618.75,31037.10059,155.185503,NSEI
20-04-23,17638.59961,17684.44922,17584.34961,17624.44922,31037.10059,155.185503,NSEI
21-04-23,17639.75,17663.19922,17553.94922,17624.05078,31037.10059,155.185503,NSEI
24-04-23,17707.55078,17754.5,17612.5,17743.40039,31037.10059,155.185503,NSEI
25-04-23,17761.55078,17807.44922,17716.84961,17769.25,31037.10059,155.185503,NSEI
26-04-23,17767.30078,17827.75,17711.19922,17813.59961,31037.10059,155.185503,NSEI
27-04-23,17813.09961,17931.59961,17797.90039,17915.05078,31037.10059,155.185503,NSEI
28-04-23,17950.40039,18089.15039,17885.30078,18065,31037.10059,155.185503,NSEI
02-05-23,18124.80078,18180.25,18101.75,18147.65039,31037.10059,155.185503,NSEI
03-05-23,18113.80078,18116.34961,18042.40039,18089.84961,31037.10059,155.185503,NSEI
04-05-23,18081,18267.44922,18066.69922,18255.80078,31037.10059,155.185503,NSEI
05-05-23,18117.30078,18216.94922,18055.44922,18069,31037.10059,155.185503,NSEI
08-05-23,18120.59961,18286.94922,18100.30078,18264.40039,31037.10059,155.185503,NSEI
09-05-23,18303.40039,18344.19922,18229.65039,18265.94922,31037.10059,155.185503,NSEI
10-05-23,18313.59961,18326.75,18211.94922,18315.09961,31037.10059,155.185503,NSEI
11-05-23,18357.80078,18389.69922,18270.40039,18297,31037.10059,155.185503,NSEI
12-05-23,18273.75,18342.75,18194.55078,18314.80078,31037.10059,155.185503,NSEI
15-05-23,18339.30078,18458.90039,18287.90039,18398.84961,31037.10059,155.185503,NSEI
16-05-23,18432.34961,18432.34961,18264.34961,18286.5,31037.10059,155.185503,NSEI
17-05-23,18300.44922,18309,18115.34961,18181.75,31037.10059,155.185503,NSEI
18-05-23,18287.5,18297.19922,18104.84961,18129.94922,31037.10059,155.185503,NSEI
19-05-23,18186.15039,18218.09961,18060.40039,18203.40039,31037.10059,155.185503,NSEI
22-05-23,18201.09961,18335.25,18178.84961,18314.40039,31037.10059,155.185503,NSEI
23-05-23,18362.90039,18419.75,18324.19922,18348,31037.10059,155.185503,NSEI
24-05-23,18294.80078,18392.59961,18262.94922,18285.40039,31037.10059,155.185503,NSEI
25-05-23,18268.90039,18338.09961,18202.40039,18321.15039,31037.10059,155.185503,NSEI
26-05-23,18368.34961,18508.55078,18333.15039,18499.34961,31037.10059,155.185503,NSEI
29-05-23,18619.15039,18641.19922,18581.25,18598.65039,31037.10059,155.185503,NSEI
30-05-23,18606.65039,18662.44922,18575.5,18633.84961,31037.10059,155.185503,NSEI
31-05-23,18594.19922,18603.90039,18483.84961,18534.40039,31037.10059,155.185503,NSEI
01-06-23,18579.40039,18580.30078,18464.55078,18487.75,31037.10059,155.185503,NSEI
02-06-23,18550.84961,18573.69922,18478.40039,18534.09961,31037.10059,155.185503,NSEI
05-06-23,18612,18640.15039,18582.80078,18593.84961,31037.10059,155.185503,NSEI
06-06-23,18600.80078,18622.75,18531.59961,18599,31037.10059,155.185503,NSEI
07-06-23,18665.59961,18738.94922,18636,18726.40039,31037.10059,155.185503,NSEI
08-06-23,18725.34961,18777.90039,18615.59961,18634.55078,31037.10059,155.185503,NSEI
09-06-23,18655.90039,18676.65039,18555.40039,18563.40039,31037.10059,155.185503,NSEI
12-06-23,18595.05078,18633.59961,18559.75,18601.5,31037.10059,155.185503,NSEI
13-06-23,18631.80078,18728.90039,18631.80078,18716.15039,31037.10059,155.185503,NSEI
14-06-23,18744.59961,18769.69922,18690,18755.90039,31037.10059,155.185503,NSEI
15-06-23,18774.44922,18794.09961,18669.05078,18688.09961,31037.10059,155.185503,NSEI
16-06-23,18723.30078,18864.69922,18710.5,18826,31037.10059,155.185503,NSEI
19-06-23,18873.30078,18881.44922,18719.15039,18755.44922,31037.10059,155.185503,NSEI
20-06-23,18752.34961,18839.69922,18660.65039,18816.69922,31037.10059,155.185503,NSEI
21-06-23,18849.40039,18875.90039,18794.84961,18856.84961,31037.10059,155.185503,NSEI
